age,gender_cd,residence_pr_cd,occ_cd,crdt_lim_yx,pril_bal,lim_use_ratio,total_loan_cnt,total_loan_amt,apply_cnt,wdraw_cnt,wdraw_success_rate,if_bj_10_yn,if_bj_30_yn,reject_freq,push_cnt,sms_charge_cnt,is_coupon_issue,cust_recv_time,touch_time,target
56,1,32,103,34299,24489,0.7139858304906849,9,29930,4,2,0.5,N,N,0,1,9,Y,2024-08-08 21:58:44.277685,2024-08-11 07:58:44.277685,1
46,2,44,102,44350,17627,0.3974520856820744,3,21171,0,0,0.0,N,Y,1,3,2,N,2025-02-16 21:58:44.277697,,0
32,1,31,103,30517,5696,0.1866500638988105,9,12801,3,2,0.6666666666666666,N,N,0,2,3,Y,2024-08-05 21:58:44.277700,2024-08-08 16:58:44.277700,1
60,2,45,104,18117,16226,0.8956228956228957,8,52360,1,1,1.0,Y,N,1,3,0,N,2024-09-17 21:58:44.277703,2024-09-20 11:58:44.277703,0
25,2,44,102,27250,13543,0.4969908256880734,9,88908,3,1,0.3333333333333333,Y,Y,2,1,3,Y,2025-07-03 21:58:44.277706,2025-07-06 16:58:44.277706,0
38,1,44,103,23950,12615,0.5267223382045929,9,17559,3,1,0.3333333333333333,N,Y,1,4,4,Y,2024-07-29 21:58:44.277708,2024-07-31 21:58:44.277708,0
56,1,32,104,22359,1466,0.06556643857059798,0,0,3,2,0.6666666666666666,N,N,0,0,2,Y,2025-04-25 21:58:44.277711,,1
36,1,44,102,28596,20341,0.7113232619946845,1,8169,0,0,0.0,N,Y,1,3,9,N,2025-01-07 21:58:44.277714,2025-01-10 02:58:44.277714,0
40,1,31,102,30530,18350,0.601048149361284,4,14288,0,0,0.0,N,N,0,0,1,Y,2025-06-07 21:58:44.277716,2025-06-09 03:58:44.277716,0
28,2,31,103,6262,375,0.05988502076014053,2,11694,1,1,1.0,Y,N,1,3,5,N,2024-07-31 21:58:44.277718,,0
28,2,11,103,45150,33030,0.7315614617940199,1,2667,3,2,0.6666666666666666,N,N,0,3,7,Y,2024-08-28 21:58:44.277721,2024-08-29 16:58:44.277721,0
41,2,31,104,27615,20746,0.7512583740720623,0,0,0,0,0.0,N,N,0,4,6,Y,2024-10-30 21:58:44.277723,2024-11-02 12:58:44.277723,0
53,1,44,102,8327,6502,0.7808334334093912,9,62715,1,1,1.0,N,Y,1,2,0,N,2024-09-12 21:58:44.277726,2024-09-14 10:58:44.277726,0
57,2,31,104,34768,32651,0.9391106764841234,2,11737,1,0,0.0,N,N,0,1,3,N,2025-03-04 21:58:44.277728,2025-03-05 15:58:44.277728,0
41,2,32,101,33850,7833,0.23140324963072378,0,0,3,1,0.3333333333333333,N,Y,1,1,2,N,2024-10-13 21:58:44.277731,2024-10-14 17:58:44.277731,0
20,1,11,101,47788,1893,0.03961245500962585,0,0,2,1,0.5,Y,N,1,1,5,N,2025-04-03 21:58:44.277733,2025-04-05 17:58:44.277733,0
39,1,44,103,21848,8106,0.37101794214573414,0,0,3,1,0.3333333333333333,N,N,0,2,8,N,2025-07-11 21:58:44.277735,2025-07-13 07:58:44.277735,0
19,2,11,101,44542,11826,0.26550222262134615,7,66140,2,0,0.0,N,N,0,0,8,N,2024-09-19 21:58:44.277738,,0
41,1,44,101,20160,1652,0.08194444444444444,2,19207,1,0,0.0,N,Y,1,1,6,N,2025-06-18 21:58:44.277740,2025-06-18 22:58:44.277740,0
61,2,32,102,38998,21924,0.5621826760346684,0,0,0,0,0.0,N,N,0,0,8,N,2025-03-14 21:58:44.277743,2025-03-15 06:58:44.277743,0
47,1,11,101,32230,28717,0.8910021718895439,6,6147,4,2,0.5,N,N,0,2,7,N,2024-07-26 21:58:44.277745,,0
55,2,45,101,14076,3892,0.27649900539926114,9,51508,1,1,1.0,N,N,0,2,4,N,2025-04-30 21:58:44.277747,2025-05-03 01:58:44.277747,1
19,1,44,104,8805,599,0.06802952867688813,2,7199,0,0,0.0,N,N,0,4,8,N,2025-05-12 21:58:44.277750,2025-05-15 12:58:44.277750,0
38,1,45,101,36085,21199,0.5874740196757655,7,41733,1,0,0.0,N,N,0,1,6,Y,2025-06-25 21:58:44.277752,2025-06-28 01:58:44.277752,0
50,1,11,103,19715,18296,0.9280243469439513,3,19467,3,2,0.6666666666666666,N,N,0,4,4,Y,2025-01-10 21:58:44.277754,2025-01-12 03:58:44.277754,0
29,2,45,104,10750,9484,0.8822325581395349,3,3040,2,2,1.0,N,N,0,1,7,N,2025-05-05 21:58:44.277757,2025-05-06 02:58:44.277757,0
39,2,45,104,18232,8792,0.48222904782799475,4,2752,1,0,0.0,N,N,0,2,6,N,2025-07-13 21:58:44.277759,2025-07-13 22:58:44.277759,0
61,1,11,101,40903,20597,0.5035571962936704,5,2849,0,0,0.0,N,N,0,2,8,N,2025-04-27 21:58:44.277761,,0
42,1,32,104,11953,3637,0.30427507738643017,6,3642,3,2,0.6666666666666666,N,N,0,3,9,Y,2025-06-23 21:58:44.277764,2025-06-25 15:58:44.277764,1
44,2,45,102,37093,32696,0.8814601137680964,3,2600,4,3,0.75,Y,N,1,3,0,N,2024-10-27 21:58:44.277766,2024-10-30 02:58:44.277766,0
