user_id,score,label
user_0001,0.2665,0
user_0002,0.252,1
user_0003,0.8981,1
user_0004,0.2546,1
user_0005,0.2765,0
user_0006,0.7542,0
user_0007,0.4507,0
user_0008,0.7712,1
user_0009,0.0741,1
user_0010,0.4878,1
user_0011,0.0429,0
user_0012,0.0714,1
user_0013,0.8983,1
user_0014,0.1465,0
user_0015,0.5318,0
user_0016,0.4129,0
user_0017,0.3504,0
user_0018,0.8918,1
user_0019,0.0314,0
user_0020,0.6605,0
user_0021,0.9541,1
user_0022,0.559,0
user_0023,0.9281,0
user_0024,0.0612,0
user_0025,0.4204,0
user_0026,0.265,1
user_0027,0.7262,0
user_0028,0.9717,1
user_0029,0.2614,1
user_0030,0.6511,0
user_0031,0.2041,1
user_0032,0.564,0
user_0033,0.4647,0
user_0034,0.9626,1
user_0035,0.6064,1
user_0036,0.3525,1
user_0037,0.1218,0
user_0038,0.1582,0
user_0039,0.2308,1
user_0040,0.2559,0
user_0041,0.8436,0
user_0042,0.56,0
user_0043,0.5229,0
user_0044,0.1225,1
user_0045,0.8529,0
user_0046,0.7184,1
user_0047,0.0763,0
user_0048,0.7037,1
user_0049,0.5427,1
user_0050,0.0901,0
user_0051,0.4591,1
user_0052,0.485,1
user_0053,0.1725,1
user_0054,0.9368,1
user_0055,0.843,1
user_0056,0.6656,1
user_0057,0.463,0
user_0058,0.4135,0
user_0059,0.648,0
user_0060,0.5445,0
user_0061,0.071,0
user_0062,0.5123,0
user_0063,0.8003,1
user_0064,0.4601,0
user_0065,0.0609,0
user_0066,0.7806,1
user_0067,0.2073,0
user_0068,0.2634,1
user_0069,0.1714,0
user_0070,0.3336,1
user_0071,0.7516,1
user_0072,0.519,0
user_0073,0.2108,0
user_0074,0.8703,1
user_0075,0.872,1
user_0076,0.8632,1
user_0077,0.244,1
user_0078,0.4522,0
user_0079,0.9753,0
user_0080,0.7666,0
user_0081,0.0366,1
user_0082,0.0739,1
user_0083,0.4647,0
user_0084,0.901,0
user_0085,0.5379,0
user_0086,0.4979,0
user_0087,0.1134,1
user_0088,0.6536,1
user_0089,0.8157,1
user_0090,0.3828,0
user_0091,0.7701,0
user_0092,0.9552,1
user_0093,0.2097,1
user_0094,0.5229,1
user_0095,0.2914,1
user_0096,0.787,0
user_0097,0.576,1
user_0098,0.6319,0
user_0099,0.792,0
user_0100,0.3981,0
user_0101,0.9068,0
user_0102,0.5324,1
user_0103,0.1648,0
user_0104,0.692,1
user_0105,0.7874,1
user_0106,0.3204,0
user_0107,0.85,0
user_0108,0.898,1
user_0109,0.2814,0
user_0110,0.9739,0
user_0111,0.1479,0
user_0112,0.208,0
user_0113,0.1905,1
user_0114,0.8861,1
user_0115,0.6512,1
user_0116,0.1591,1
user_0117,0.4415,1
user_0118,0.613,0
user_0119,0.0918,1
user_0120,0.8748,1
user_0121,0.7975,1
user_0122,0.5051,1
user_0123,0.9578,0
user_0124,0.4194,0
user_0125,0.9744,0
user_0126,0.6646,0
user_0127,0.632,1
user_0128,0.1726,1
user_0129,0.8743,0
user_0130,0.4289,1
user_0131,0.169,0
user_0132,0.0224,0
user_0133,0.5586,0
user_0134,0.5269,0
user_0135,0.715,1
user_0136,0.8825,0
user_0137,0.0878,1
user_0138,0.7269,1
user_0139,0.1937,0
user_0140,0.851,1
user_0141,0.8127,1
user_0142,0.54,0
user_0143,0.706,0
user_0144,0.3181,0
user_0145,0.4717,0
user_0146,0.8152,0
user_0147,0.4601,1
user_0148,0.3606,1
user_0149,0.4943,0
user_0150,0.8217,0
user_0151,0.3385,1
user_0152,0.1803,0
user_0153,0.7078,0
user_0154,0.8195,0
user_0155,0.1086,1
user_0156,0.2451,0
user_0157,0.1491,1
user_0158,0.351,1
user_0159,0.4513,0
user_0160,0.7438,1
user_0161,0.6481,0
user_0162,0.6185,1
user_0163,0.3553,1
user_0164,0.8346,1
user_0165,0.4719,0
user_0166,0.9695,1
user_0167,0.6315,0
user_0168,0.1337,0
user_0169,0.6727,0
user_0170,0.3286,1
user_0171,0.6826,1
user_0172,0.0782,0
user_0173,0.1814,1
user_0174,0.8486,0
user_0175,0.2326,1
user_0176,0.8303,0
user_0177,0.2837,1
user_0178,0.64,0
user_0179,0.6903,1
user_0180,0.5124,0
user_0181,0.3092,0
user_0182,0.2184,0
user_0183,0.0425,1
user_0184,0.3079,1
user_0185,0.6501,0
user_0186,0.9295,1
user_0187,0.8638,1
user_0188,0.7607,1
user_0189,0.7827,1
user_0190,0.6617,0
user_0191,0.2651,0
user_0192,0.8991,1
user_0193,0.6673,1
user_0194,0.5592,1
user_0195,0.1188,0
user_0196,0.4481,0
user_0197,0.4612,1
user_0198,0.8573,1
user_0199,0.5457,1
user_0200,0.3828,1
user_0201,0.9673,1
user_0202,0.1185,0
user_0203,0.4241,0
user_0204,0.0512,1
user_0205,0.7351,1
user_0206,0.9097,0
user_0207,0.2844,0
user_0208,0.8512,1
user_0209,0.2964,0
user_0210,0.9026,0
user_0211,0.7489,1
user_0212,0.7988,1
user_0213,0.0276,1
user_0214,0.9536,0
user_0215,0.7221,1
user_0216,0.3087,0
user_0217,0.8228,0
user_0218,0.2859,1
user_0219,0.8653,1
user_0220,0.1203,1
user_0221,0.6996,1
user_0222,0.5399,1
user_0223,0.1046,0
user_0224,0.2471,0
user_0225,0.0222,0
user_0226,0.4694,0
user_0227,0.3052,1
user_0228,0.5964,0
user_0229,0.3013,1
user_0230,0.3039,1
user_0231,0.7383,1
user_0232,0.0572,1
user_0233,0.8948,1
user_0234,0.8452,0
user_0235,0.6644,0
user_0236,0.5914,1
user_0237,0.8845,0
user_0238,0.1916,0
user_0239,0.0874,1
user_0240,0.2447,0
user_0241,0.7887,1
user_0242,0.044,1
user_0243,0.5812,1
user_0244,0.9855,0
user_0245,0.8486,0
user_0246,0.521,1
user_0247,0.0724,0
user_0248,0.8247,1
user_0249,0.597,1
user_0250,0.1226,1
user_0251,0.102,0
user_0252,0.9014,0
user_0253,0.6658,1
user_0254,0.8227,0
user_0255,0.8714,0
user_0256,0.5703,1
user_0257,0.5171,1
user_0258,0.4318,1
user_0259,0.3206,1
user_0260,0.4359,0
user_0261,0.7684,1
user_0262,0.5999,1
user_0263,0.8847,0
user_0264,0.4445,1
user_0265,0.6049,1
user_0266,0.6287,1
user_0267,0.5899,1
user_0268,0.6986,1
user_0269,0.2427,0
user_0270,0.5121,0
user_0271,0.1121,1
user_0272,0.3868,1
user_0273,0.4879,1
user_0274,0.6492,1
user_0275,0.9415,1
user_0276,0.5986,1
user_0277,0.7387,1
user_0278,0.5061,1
user_0279,0.6314,1
user_0280,0.0795,1
user_0281,0.2593,1
user_0282,0.3646,0
user_0283,0.473,0
user_0284,0.0547,0
user_0285,0.1472,1
user_0286,0.2813,0
user_0287,0.9621,0
user_0288,0.3347,1
user_0289,0.4824,0
user_0290,0.2022,1
user_0291,0.6086,0
user_0292,0.2851,0
user_0293,0.2129,1
user_0294,0.5162,0
user_0295,0.0154,0
user_0296,0.0175,1
user_0297,0.2247,1
user_0298,0.046,0
user_0299,0.1159,1
user_0300,0.3421,0
user_0301,0.7965,0
user_0302,0.5706,1
user_0303,0.5124,1
user_0304,0.2976,1
user_0305,0.9231,1
user_0306,0.3991,1
user_0307,0.0954,1
user_0308,0.6147,0
user_0309,0.1216,1
user_0310,0.3483,0
user_0311,0.5073,0
user_0312,0.8667,0
user_0313,0.4937,0
user_0314,0.6982,1
user_0315,0.983,1
user_0316,0.1389,1
user_0317,0.2792,0
user_0318,0.3967,0
user_0319,0.4234,0
user_0320,0.4128,0
user_0321,0.8995,1
user_0322,0.7098,1
user_0323,0.6057,1
user_0324,0.3132,0
user_0325,0.8173,1
user_0326,0.946,1
user_0327,0.8148,1
user_0328,0.0115,1
user_0329,0.6337,0
user_0330,0.0601,0
user_0331,0.2625,0
user_0332,0.0683,1
user_0333,0.6017,0
user_0334,0.6829,0
user_0335,0.1222,0
user_0336,0.3862,0
user_0337,0.4571,1
user_0338,0.3717,1
user_0339,0.1286,0
user_0340,0.4206,0
user_0341,0.7462,0
user_0342,0.0796,0
user_0343,0.0886,0
user_0344,0.3577,0
user_0345,0.9329,0
user_0346,0.6652,1
user_0347,0.6751,1
user_0348,0.3647,0
user_0349,0.5918,0
user_0350,0.0199,1
user_0351,0.6334,1
user_0352,0.905,1
user_0353,0.6103,1
user_0354,0.8662,0
user_0355,0.7195,0
user_0356,0.1281,1
user_0357,0.8944,0
user_0358,0.0751,1
user_0359,0.5333,1
user_0360,0.1493,1
user_0361,0.0215,0
user_0362,0.4236,1
user_0363,0.2991,0
user_0364,0.4863,1
user_0365,0.5757,1
user_0366,0.0529,0
user_0367,0.1305,1
user_0368,0.5575,1
user_0369,0.3463,0
user_0370,0.7246,0
user_0371,0.6492,0
user_0372,0.8387,0
user_0373,0.6886,0
user_0374,0.4313,1
user_0375,0.6695,0
user_0376,0.2799,0
user_0377,0.3102,1
user_0378,0.7832,0
user_0379,0.4475,1
user_0380,0.7924,0
user_0381,0.816,0
user_0382,0.8504,1
user_0383,0.9083,1
user_0384,0.4324,1
user_0385,0.3225,1
user_0386,0.5806,1
user_0387,0.3737,0
user_0388,0.5991,0
user_0389,0.7015,1
user_0390,0.6846,1
user_0391,0.3771,1
user_0392,0.1735,0
user_0393,0.4319,0
user_0394,0.1497,1
user_0395,0.8823,0
user_0396,0.349,1
user_0397,0.1614,1
user_0398,0.0349,0
user_0399,0.6429,1
user_0400,0.6342,1
user_0401,0.3438,0
user_0402,0.0803,1
user_0403,0.4114,1
user_0404,0.315,1
user_0405,0.6736,0
user_0406,0.6037,1
user_0407,0.3673,0
