aprv_status,age,gender_cd,ocr_ethnic,residence_pr_cd,residence_city_cd,residence_area_cd,census_pr_cd,census_city_cd,census_area_cd,occ_cd,pril_bal,crdt_lim_yx,avail_bal_cash,total_loan_cnt,total_loan_amt,apply_cnt,apply_amt,wdraw_cnt,wdraw_amt,lim_use_rate,cust_recv_time,touch_time,cust_date,push_cnt,sms_charge_cnt,tel_call_type,tel_call_dur,tel_call_inav_cnt,touch_status,click_status,is_coupon_issue,is_credit,is_apply,is_wdraw,is_login,delay_days,if_bj_10_yn,if_bj_30_yn,wdraw_amt_t0,wdraw_amt_t3,wdraw_amt_t7,wdraw_amt_t10,wdraw_amt_t14,wdraw_amt_t15,wdraw_amt_t30,first_biz_name,second_biz_name,third_biz_name,db_src,prod_cd,cust_gp_code,cust_gp_name,touch_name,touch_id,touch_type,channel_name,channel_id,plan_id,plan_name,channel_task_id,subscribe_no,decision_id,decision_name,t1_cust_id,t2_cust_id
0,,2,汉族,na,7801,757101,34,7801,198101,650,210.45,3264.21,3053.76,9.0,114273.66,5.0,5819.48,3.0,3405.0,0.0645,2025-02-19,2025-08-26 07:32:15,2025-02-19,,,0,34.0,6.0,成功,未点击,N,N,N,N,N,2.0,Y,N,,0.0,,0.0,0.0,0.0,3405.0,消费信贷,分期贷,消费分期,营销系统,P002,G0010,优质客户,触达计划_12,T28200,公众号,合作渠道C,C003,PL2929,营销计划_39,TASK344254,S38083883,D97764,nan,#N/A,#N/A
1,26.0,1,汉族,12,3201,117101,43,5201,442101,400,218.69,56265.04,56046.35,1.0,85504.31,9.0,4645.55,0.0,0.0,0.0039,2025-03-26,,2025-03-26,0.0,0.0,1,103.0,5.0,成功,未点击,N,N,N,N,Y,9.0,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,消费信贷,分期贷,nan,数据平台,P043,G0010,优质客户,触达计划_15,T70975,公众号,合作渠道C,C004,PL9015,营销计划_38,TASK303202,S25994819,D20275,人工审批,CUST000000001,USER00000001
0,50.0,1,汉族,25,1601,553101,30,6901,419101,150,1414.85,23106.87,21692.02,12.0,31064.79,5.0,21690.54,0.0,0.0,0.0612,2024-12-01,,2024-12-01,8.0,,,,0.0,未触达,未点击,N,N,N,N,Y,3.0,Y,Y,0.0,0.0,,0.0,0.0,0.0,0.0,经营贷款,分期贷,消费分期,营销系统,P041,G0005,潜力客户,触达计划_8,T34032,短信,自有渠道,C005,PL1153,营销计划_21,,S42623648,D13796,人工审批,,#N/A
0,37.0,n,汉族,33,3601,437101,70,nan,529101,nan,1052.4,45668.99,44616.59,16.0,26340.26,5.0,2884.02,4.0,2745.89,0.023,2025-01-05,,2025-01-05,4.0,1.0,n,26.0,,成功,未点击,N,N,N,N,Y,8.0,N,N,0.0,0.0,0.0,0.0,0.0,0.0,2745.89,经营贷款,专项贷,大额分期,信贷系统,P041,G0004,潜力客户,触达计划_11,T61948,短信,自有渠道,C008,PL2967,营销计划_43,TASK276089,S98308704,D91071,自动审批,CUST000000003,USER00000003
0,30.0,2,汉族,39,1301,399101,58,3601,nan,100,3004.02,13090.15,10086.13,0.0,0.0,3.0,48797.68,0.0,0.0,0.2295,,,,2.0,0.0,1,118.0,3.0,nan,未点击,N,N,N,N,N,6.0,N,N,0.0,0.0,,,0.0,0.0,0.0,消费信贷,专项贷,应急贷,营销系统,P047,G0018,nan,触达计划_16,T77602,短信,自有渠道,C006,PL1046,营销计划_25,TASK162743,S42884043,,复核,CUST000000004,#N/A
1,45.0,1,汉族,na,6201,620101,74,3301,463101,750,6389.61,2816.93,0.0,3.0,5690.96,2.0,13290.07,2.0,10831.33,2.2683,2025-04-06,2025-06-09 11:10:48,2025-04-06,1.0,0.0,,0.0,0.0,成功,,N,N,N,N,N,5.0,N,n,0.0,0.0,0.0,0.0,,0.0,10831.33,信用卡,现金贷,小额速贷,信贷系统,P045,G0025,潜力客户,触达计划_19,T22520,nan,合作渠道B,,,营销计划_42,TASK640516,S33020820,D83316,自动审批,CUST000000005,USER00000005
0,46.0,2,汉族,38,7001,470101,40,1801,nan,400,433.06,16713.73,16280.67,17.0,29312.4,0.0,0.0,0.0,0.0,0.0259,2025-02-25,2025-08-10 15:19:59,2025-02-25,7.0,1.0,n,19.0,2.0,未触达,nan,Y,N,Y,n,Y,11.0,N,Y,,,0.0,0.0,0.0,0.0,0.0,消费信贷,现金贷,大额分期,信贷系统,P029,G0003,风险客户,触达计划_3,T37921,APP推送,合作渠道A,C016,PL9295,,TASK419653,S75057480,D86619,人工审批,#N/A,USER00000006
0,30.0,2,汉族,24,7301,708101,27,6301,254101,500,2304.72,37186.07,34881.35,5.0,6294.99,2.0,3200.5,2.0,2408.53,0.062,2025-03-31,,2025-03-31,7.0,3.0,,0.0,0.0,成功,未点击,N,Y,N,N,Y,8.0,Y,Y,0.0,0.0,0.0,,0.0,0.0,2408.53,消费信贷,循环贷,消费分期,信贷系统,P001,,潜力客户,触达计划_18,T13078,短信,自有渠道,C017,PL1233,营销计划_21,TASK667502,S30833341,D16666,自动审批,#N/A,USER00000007
0,63.0,1,汉族,54,7501,328101,na,2401,119101,150,1395.53,17460.59,16065.06,11.0,19228.08,2.0,23353.05,1.0,20361.58,0.0799,2025-06-25,,2025-06-25,5.0,4.0,2,37.0,4.0,成功,点击,N,N,N,N,N,10.0,N,N,,0.0,0.0,0.0,,0.0,20361.58,经营贷款,现金贷,大额分期,营销系统,P017,G0017,风险客户,触达计划_8,T43622,短信,自有渠道,C012,PL1165,营销计划_2,TASK722836,S66950649,D36202,复核,CUST000000008,
1,52.0,2,nan,40,6201,515101,29,1701,153101,650,63153.68,1668.79,0.0,19.0,519.75,8.0,4755.05,2.0,2917.58,37.844,2024-08-18,,2024-08-18,,1.0,3,109.0,3.0,成功,点击,N,N,n,N,N,12.0,N,n,,,0.0,0.0,0.0,0.0,2917.58,经营贷款,现金贷,消费分期,数据平台,P044,G0027,nan,触达计划_10,T27535,nan,合作渠道B,C014,PL6492,营销计划_37,TASK898187,S30970251,D88152,系统初审,,USER00000009
