aprv_status,age,gender_cd,ocr_ethnic,residence_pr_cd,residence_city_cd,residence_area_cd,census_pr_cd,census_city_cd,census_area_cd,occ_cd,pril_bal,crdt_lim_yx,avail_bal_cash,total_loan_cnt,total_loan_amt,apply_cnt,apply_amt,wdraw_cnt,wdraw_amt,lim_use_rate,cust_recv_time,touch_time,cust_date,push_cnt,sms_charge_cnt,tel_call_type,tel_call_dur,tel_call_inav_cnt,touch_status,click_status,is_coupon_issue,is_credit,is_apply,is_wdraw,is_login,delay_days,if_bj_10_yn,if_bj_30_yn,wdraw_amt_t0,wdraw_amt_t3,wdraw_amt_t7,wdraw_amt_t10,wdraw_amt_t14,wdraw_amt_t15,wdraw_amt_t30,first_biz_name,second_biz_name,third_biz_name,db_src,prod_cd,cust_gp_code,cust_gp_name,touch_name,touch_id,touch_type,channel_name,channel_id,plan_id,plan_name,channel_task_id,subscribe_no,decision_id,decision_name,t1_cust_id,t2_cust_id
0,34,1,蒙古族,13,0901,027101,13,2601,021101,016,12729.68,2216.12,0.0,2,66235.87,6,78648.61,6,50632.86,5.7441,2025-07-15,2025-07-24 05:13:48,2025-07-15,4,2,1,232,3,成功,未点击,N,Y,N,N,Y,12,N,N,0.0,0.0,0.0,0.0,0.0,0.0,50632.86,经营贷款,专项贷,小额速贷,数据平台,P024,G0015,存量客户,触达计划_17,T78861,短信,合作渠道A,C008,PL1472,营销计划_45,TASK918020,S12432635,D60473,人工审批,#N/A,#N/A
1,26,1,汉族,10,3101,191101,12,2201,311101,004,5423.45,1972.59,0.0,14,1440.56,8,11974.49,0,0.0,2.7494,2025-05-27,,2025-05-27,1,1,0,219,3,失败,未点击,N,Y,N,N,N,11,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,消费信贷,分期贷,大额分期,数据平台,P043,G0005,潜力客户,触达计划_19,T15973,APP推送,自有渠道,C001,PL7542,营销计划_27,TASK238594,S15661576,D66361,复核,CUST000000001,USER00000001
0,50,2,其他,09,2101,122101,13,3101,041101,013,14401.3,4873.52,0.0,17,20768.32,3,2421.83,2,1663.25,2.955,2025-06-02,,2025-06-02,7,3,1,108,2,未触达,点击,Y,N,N,N,Y,11,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,1663.25,消费信贷,分期贷,大额分期,数据平台,P041,G0014,潜力客户,触达计划_14,T65043,电话,合作渠道C,C017,PL6192,营销计划_41,TASK424013,S11854591,D68354,人工审批,CUST000000002,#N/A
0,37,1,维吾尔族,27,3401,238101,10,1001,169101,016,4851.23,4505.31,0.0,9,25183.82,8,6436.79,0,0.0,1.0768,2025-05-27,,2025-05-27,7,4,1,22,7,成功,未点击,N,N,N,N,N,10,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,经营贷款,专项贷,大额分期,营销系统,P049,G0013,新客户,触达计划_10,T81746,电话,自有渠道,C012,PL2896,营销计划_31,TASK674502,S96542629,D71527,人工审批,CUST000000003,USER00000003
0,30,1,回族,34,3101,180101,33,1201,246101,006,3694.08,4248.94,554.86,6,12479.2,0,0.0,0,0.0,0.8694,2025-06-12,2025-06-28 05:34:21,2025-06-12,6,3,0,279,6,成功,未点击,N,N,N,N,N,12,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,信用卡,专项贷,大额分期,核心系统,P039,G0020,存量客户,触达计划_9,T27261,APP推送,合作渠道B,C012,PL4154,营销计划_6,TASK926670,S30198548,D75711,自动审批,CUST000000004,#N/A
1,45,2,汉族,01,2501,304101,16,2801,236101,011,223.85,14182.07,13958.22,8,2169.24,5,872.16,0,0.0,0.0158,2024-11-08,2025-02-04 00:29:29,2024-11-08,5,1,,0,0,成功,点击,N,N,N,N,Y,1,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,信用卡,专项贷,应急贷,数据平台,P040,G0026,风险客户,触达计划_16,T92051,公众号,自有渠道,C013,PL7317,营销计划_29,TASK197828,S77915078,D98990,系统初审,CUST000000005,USER00000005
0,46,2,维吾尔族,32,1201,198101,03,0601,190101,003,1987.14,8909.36,6922.22,4,12728.3,1,26336.88,0,0.0,0.223,2025-04-14,2025-08-01 00:28:33,2025-04-14,0,3,2,283,7,成功,未点击,Y,N,N,N,N,7,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,信用卡,分期贷,消费分期,数据平台,P030,G0022,存量客户,触达计划_15,T47935,电话,自有渠道,C014,PL2611,营销计划_30,TASK880712,S63449867,D53285,系统初审,#N/A,USER00000006
0,30,1,维吾尔族,25,0101,088101,05,2001,326101,010,2860.99,5734.25,2873.26,19,258800.73,7,8059.72,3,4122.18,0.4989,2024-12-23,,2024-12-23,7,4,2,142,4,成功,未点击,N,N,N,N,Y,4,N,N,0.0,0.0,0.0,0.0,0.0,0.0,4122.18,信用卡,专项贷,应急贷,数据平台,P034,G0018,存量客户,触达计划_16,T91450,电话,合作渠道C,C008,PL7434,营销计划_38,TASK506813,S42295715,D89190,人工审批,#N/A,USER00000007
0,63,2,其他,29,2201,155101,26,0501,055101,001,55807.35,10093.18,0.0,7,53507.78,4,15103.05,4,9774.62,5.5292,2024-12-16,2025-05-31 20:35:31,2024-12-16,0,1,1,23,5,未触达,未点击,N,N,N,N,Y,13,N,N,0.0,0.0,0.0,0.0,0.0,0.0,9774.62,信用卡,专项贷,应急贷,信贷系统,P046,G0001,潜力客户,触达计划_18,T10992,电话,合作渠道B,C014,PL5476,营销计划_11,TASK563302,S24958975,D58407,自动审批,CUST000000008,USER00000008
1,52,2,藏族,07,0101,191101,11,2301,089101,011,8353.49,2465.54,0.0,13,125815.51,2,32515.17,2,25329.19,3.3881,2025-02-01,,2025-02-01,7,3,2,290,9,成功,未点击,N,N,N,N,Y,14,N,N,0.0,0.0,0.0,0.0,0.0,0.0,25329.19,消费信贷,循环贷,小额速贷,信贷系统,P010,G0013,新客户,触达计划_10,T48540,短信,合作渠道A,C007,PL9377,营销计划_42,TASK465891,S96976450,D93359,自动审批,CUST000000009,USER00000009
