user_id,age,monthly_income,browse_time_minutes,spending_frequency,gender,occupation,city,education,family_size,login_count_30d,member_level,browsed_categories,has_coupon,is_new_user,joined_promotion,has_notification_enabled,target_purchase
USER_000000,20.1,2369.19,0.72,0.5,Female,Salesperson,Other City,Associate Degree,2,1,2,5,0,False,True,False,0
USER_000001,23.7,5499.17,8.45,3.79,Male,Civil Servant,Houston,Master or Higher,5,3,2,7,1,True,False,False,1
USER_000002,38.9,5034.3,12.84,3.56,Male,Freelancer,Chicago,Associate Degree,8,5,1,5,0,False,False,True,1
USER_000003,23.3,3675.01,1.46,1.9,Male,Doctor,Los Angeles,Bachelor Degree,5,1,1,8,0,False,True,True,0
USER_000004,46.1,6985.44,5.34,3.32,Female,Corporate Employee,Houston,Bachelor Degree,8,8,1,1,1,False,False,True,0
USER_000005,34.3,3205.25,3.36,5.32,Female,Other,New York,High School or Below,3,5,4,8,0,False,True,True,0
USER_000006,35.9,5273.43,1.19,0.1,Female,Other,San Antonio,Bachelor Degree,7,10,4,7,0,False,False,True,0
USER_000007,32.2,5808.99,8.36,4.61,Male,Engineer,New York,Master or Higher,3,12,3,10,1,False,True,False,1
USER_000008,42.7,6272.5,0.37,5.06,Male,Civil Servant,Other City,High School or Below,5,6,2,1,0,False,True,False,0
USER_000009,42.8,7638.65,12.41,5.09,Male,Corporate Employee,Phoenix,Bachelor Degree,7,4,2,6,1,False,True,True,1
USER_000010,38.4,5444.7,7.1,3.59,Male,Engineer,New York,Associate Degree,4,10,2,6,0,False,True,True,0
USER_000011,40.6,7324.82,13.85,7.12,Female,Other,Los Angeles,Bachelor Degree,3,13,1,3,0,True,False,False,1
USER_000012,32.9,7818.33,12.49,1.93,Male,Corporate Employee,Los Angeles,Bachelor Degree,7,5,3,7,1,False,False,False,1
USER_000013,40.4,5587.41,1.18,3.34,Male,Corporate Employee,Houston,Associate Degree,6,7,1,5,0,True,True,True,0
USER_000014,31.6,3654.58,9.89,4.63,Female,Student,Other City,Bachelor Degree,7,2,2,6,0,False,False,True,0
USER_000015,35.0,4798.72,4.96,3.89,Male,Engineer,Houston,Associate Degree,4,6,4,8,0,False,True,True,0
USER_000016,32.3,4061.12,5.92,1.81,Male,Engineer,Los Angeles,Bachelor Degree,4,7,1,4,0,False,True,False,0
USER_000017,30.4,4402.4,1.27,0.1,Female,Doctor,New York,Associate Degree,6,1,1,8,0,False,False,True,0
USER_000018,28.1,3590.23,1.52,3.58,Female,Corporate Employee,Los Angeles,Master or Higher,3,4,1,2,0,False,False,False,0
USER_000019,39.7,4493.19,11.91,1.86,Male,Salesperson,Other City,Bachelor Degree,7,1,5,8,0,False,True,False,0
